pic_ID,symbol_word,utterance_lemmas
Northern_Renaissance/albrecht-durer/design-for-the-fugger-chapel-in-augsburg-simson-with-the-doors-of-gaza.jpg,running,"['The', 'man', 'is', 'running', 'with', 'a', 'board', 'on', 'his', 'arm', '.']"
Romanticism/joseph-wright/convent-of-san-cosimato-and-part-of-the-claudian-aqueduct-near-vicovaro-in-the-roman-campagna.jpg,running,"['I', 'can', 'imagine', 'being', 'in', 'that', 'house', ',', 'listening', 'to', 'the', 'water', 'running', 'past', '.', 'The', 'sky', 'is', 'beautiful', '.']"
Impressionism/max-slevogt/the-circus.jpg,running,"['The', 'horse', 'is', 'running', 'around', 'the', 'arena', 'to', 'show', 'off', 'it', 'speed']"
Realism/nikolay-bogdanov-belsky/nude-model.jpg,running,"['I', 'can', 'see', 'a', 'bone', 'running', 'down', 'the', 'boy', ""'s"", 'spine']"
Impressionism/edgar-degas/three-dancers-in-yellow-skirts.jpg,exercise,"['this', 'look', 'like', 'a', 'line-work', 'flow', 'exercise', 'from', 'the', 'lack', 'of', 'detail']"
Realism/theodore-rousseau/a-torrent-with-dam-in-auvergne-1830.jpg,running,"['The', 'water', 'look', 'really', 'muddy', 'since', 'it', ""'s"", 'not', 'running', 'clear', 'at', 'all']"
Impressionism/pierre-auguste-renoir/the-judgment-of-paris-1914.jpg,running,"['plump', 'naked', 'woman', 'running', 'around', 'getting', 'handed', 'apple', '.', 'they', 'do', ""n't"", 'look', 'hungry', '.']"
Realism/vasily-surikov/scene-from-the-roman-carnival-1884.jpg,running,"['The', 'woman', 'is', 'fleeing', 'for', 'her', 'life', 'since', 'she', 'is', 'running', 'away']"
Northern_Renaissance/hieronymus-bosch/the-garden-of-earthly-delights-1515-6.jpg,running,"['This', 'painting', 'is', 'very', 'funny', 'in', 'that', 'so', 'many', 'people', 'are', 'running', 'around', 'together', 'in', 'complete', 'nudity', '.', 'The', 'flower', 'also', 'seem', 'to', 'be', 'placed', 'in', 'some', 'very', 'interesting', 'place', '.']"
Post_Impressionism/vincent-van-gogh/a-field-of-yellow-flowers-1889(1).jpg,running,"['This', 'is', 'a', 'real', 'Earthy', 'painting', '.', 'All', 'the', 'green', ',', 'yellow', 'and', 'brown', 'make', 'me', 'feel', 'like', 'I', 'am', 'running', 'through', 'a', 'rural', 'field', '.', 'It', 'feel', 'like', 'the', 'poppy', 'will', 'come', 'right', 'out', 'of', 'the', 'ground', 'a', 'I', 'run', 'through', 'them', '.']"
Realism/peder-severin-kroyer/beach-of-skagen-1892.jpg,running,"['The', 'boy', 'are', 'running', 'into', 'the', 'ocean', 'in', 'the', 'most', 'carefree', 'way']"
Realism/james-mcneill-whistler/arrangement-in-black-the-lady-in-the-yellow-buskin.jpg,running,"['This', 'woman', 'dressed', 'in', 'black', 'look', 'like', 'she', 'is', 'running', 'out', 'into', 'the', 'darkness', 'herself', '.', 'It', ""'s"", 'a', 'scary', 'picture', '.']"
Realism/peder-severin-kroyer/boys-bathing-at-skagen-summer-evening-1899.jpg,running,"['This', 'is', 'such', 'a', 'funny', 'scene', ',', 'to', 'me', '.', 'I', 'love', 'how', 'happy', 'the', 'kid', 'in', 'the', 'water', 'look', ',', 'just', 'running', 'around', 'naked', 'on', 'the', 'beach', 'without', 'a', 'care', 'in', 'the', 'world', '.']"
Impressionism/theophrastos-triantafyllidis/open-air-show.jpg,running,"['So', 'many', 'people', 'are', 'running', 'around', 'in', 'the', 'street']"
Realism/winslow-homer/long-branch-new-jersey.jpg,running,"['Two', 'woman', 'and', 'a', 'dog', 'are', 'running', 'to', 'the', 'edge', 'so', 'they', 'can', 'see', 'what', 'is', 'happening', 'below', '.']"
Impressionism/konstantin-korovin/paris-1906.jpg,running,"['This', 'muted', 'colored', 'painting', 'feel', 'like', 'rain', 'is', 'falling', 'on', 'the', 'city', 'building', 'and', 'street', 'while', 'people', 'are', 'running', 'for', 'cover', '.']"
Northern_Renaissance/hans-memling/bathsheba-in-the-bath-1480.jpg,running,"['The', 'woman', 'look', 'like', 'she', ""'s"", 'running', 'out', 'the', 'door', 'in', 'a', 'rush']"
Impressionism/john-henry-twachtman/snow-scene-1.jpg,running,"['Seeing', 'the', 'snow', 'covered', 'forest', 'with', 'the', 'stream', 'running', 'through', 'it', 'is', 'quite', 'peaceful']"
Impressionism/lucia-demetriade-balacescu/joc-1913.jpg,running,"['The', 'playful', 'color', 'of', 'the', 'playground', 'enhance', 'it', ""'s"", 'ability', 'to', 'be', 'proving', 'fun', 'for', 'the', 'child', 'who', 'are', 'swinging', 'and', 'running', 'around', 'with', 'no', 'worry', 'growing', 'in', 'this', 'setting', '.']"
Impressionism/john-henry-twachtman/fish-sheds-gloucester-massachusetts-1902.jpg,running,"['The', 'small', 'boat', 'ha', 'a', 'lovely', 'strip', 'of', 'sea', 'green', 'running', 'across', 'it', 'top']"
Impressionism/john-henry-twachtman/niagara-falls-3.jpg,running,"['I', 'like', 'the', 'feel', 'of', 'running', 'water', 'in', 'the', 'painting', '.']"
Post_Impressionism/vincent-van-gogh/drawbridge-with-lady-with-parasol-1888(1).jpg,running,"['The', 'river', 'running', 'through', 'the', 'area', 'is', 'quite', 'lovely', 'and', 'serene', '.', 'I', 'like', 'the', 'bristle', 'of', 'the', 'lily', 'near', 'buy', '.']"
Impressionism/valentin-serov/peter-i-the-great-1907.jpg,running,"['The', 'men', 'look', 'like', 'they', ""'re"", 'running', 'away', 'from', 'something', '.', 'They', 'all', 'look', 'spooked', '.']"
Impressionism/yiannis-tsaroychis/horseman-and-bather-with-house-1965.jpg,running,"['The', 'son', 'is', 'running', 'out', 'to', 'greet', 'his', 'dad', 'a', 'his', 'dad', 'trot', 'home', 'from', 'work']"
Impressionism/joaquã­n-sorolla/herding-geese-in-the-asturias-1903.jpg,running,"['This', 'look', 'like', 'a', 'fun', 'day', 'for', 'the', 'lady', 'playing', 'with', 'the', 'duck', 'running', 'around', 'her', '.']"
Northern_Renaissance/lucas-cranach-the-elder/portrait-of-rudolph-agricola.jpg,running,"['Streaks', 'of', 'mascara', 'seem', 'to', 'be', 'running', 'down', 'this', 'nun', ""'s"", 'face']"
Northern_Renaissance/hans-memling/portrait-of-jacques-of-savoy-1470.jpg,running,"['The', 'man', ""'s"", 'hat', 'ha', 'a', 'large', 'crack', 'running', 'through', 'it']"
Northern_Renaissance/hans-memling/descent-from-the-cross-left-hand-panel-from-the-deposition-diptych-1494.jpg,running,"['The', 'man', 'without', 'the', 'shirt', 'is', 'dying', ',', 'since', 'he', 'ha', 'a', 'streak', 'of', 'red', 'blood', 'running', 'down', 'his', 'body']"
Realism/vasily-vereshchagin/burlak-who-hold-hands-on-the-strap-1866.jpg,exercise,"['Is', 'this', 'some', 'kind', 'of', 'exercise', 'or', 'torture', '(', 'self', 'imposed', ')', 'of', 'this', 'person', '?', 'His', 'expression', 'is', ""n't"", 'particularly', 'pained', '.', 'Artist', 'what', 'is', 'this', 'about', '?']"
Expressionism/theo-van-doesburg/beggar-1914.jpg,running,"['This', 'person', 'look', 'angry', 'with', 'uneven', 'eye', 'while', 'acting', 'like', 'he', 'ha', 'stolen', 'something', 'and', 'running', 'away', '!']"
Impressionism/t.-c.-steele/the-christ-child-and-the-infant-st-john-after-rubens-1883.jpg,running,"['The', 'young', 'child', 'could', 'care', 'le', 'about', 'what', 'people', 'think', 'of', 'them', 'running', 'around', 'and', 'playing', 'in', 'the', 'nude', '.']"
